chr	start	end	name	score	strand	symbol	tss	K562.ENCFF934YBO.TPM.txt.Expression	Expression	Expression.quantile	is_ue	cellType	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile.TSS1Kb	DHS.RPM.TSS1Kb	DHS.RPM.quantile.TSS1Kb	DHS.RPKM.TSS1Kb	DHS.RPKM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile.TSS1Kb	H3K27ac.RPM.TSS1Kb	H3K27ac.RPM.quantile.TSS1Kb	H3K27ac.RPKM.TSS1Kb	H3K27ac.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr22	17442826	17489112	GAB4	0	-	GAB4	17489112	0.120000	0.120000	0.406417	False	K562	164	377.618288	0.500891	0.500891	8.158369	0.194296	154	394.530880	0.516043	0.516043	8.523763	0.212121	386.074584	0.515152	8.341066	0.199643	95	434.172581	0.468806	0.468806	9.380214	0.226381	434.172581	0.468806	9.380214	0.226381	3	6.907652	0.183601	0.183601	6.907652	0.183601	6	15.371333	0.303922	0.303922	15.371333	0.303922	11.139492	0.265597	11.139492	0.265597	1	4.570238	0.184492	0.184492	4.570238	0.184492	4.570238	0.184492	4.570238	0.184492	0.245989
chr22	17517459	17539682	CECR7	0	+	CECR7	17517459	15.200000	15.200000	0.721925	False	K562	145	333.869828	0.463458	0.463458	15.023616	0.413547	144	368.911991	0.504456	0.504456	16.600459	0.442068	351.390910	0.475936	15.812038	0.431373	82	374.759491	0.439394	0.439394	16.863587	0.433155	374.759491	0.439394	16.863587	0.433155	2	4.605101	0.131016	0.131016	4.605101	0.131016	5	12.809444	0.280749	0.280749	12.809444	0.280749	8.707273	0.216578	8.707273	0.216578	1	4.570238	0.184492	0.184492	4.570238	0.184492	4.570238	0.184492	4.570238	0.184492	0.229947
chr22	17565848	17596584	IL17RA	0	+	IL17RA	17565848	4.220000	4.220000	0.577540	False	K562	350	805.892687	0.680927	0.680927	26.219830	0.598930	319	817.242537	0.697861	0.697861	26.589099	0.614973	811.567612	0.686275	26.404464	0.609626	165	754.089220	0.621212	0.621212	24.534397	0.557932	754.089220	0.621212	24.534397	0.557932	193	444.392253	0.770053	0.770053	444.392253	0.770053	182	466.263767	0.779857	0.779857	466.263767	0.779857	455.328010	0.773619	455.328010	0.773619	55	251.363073	0.684492	0.684492	251.363073	0.684492	251.363073	0.684492	251.363073	0.684492	0.723708
chr22	17597188	17602257	CECR6	0	-	CECR6	17602257	0.000000	0.000000	0.268271	False	K562	42	96.707122	0.213904	0.213904	19.078146	0.499109	40	102.475553	0.227273	0.227273	20.216128	0.536542	99.591338	0.212121	19.647137	0.520499	18	82.264279	0.200535	0.200535	16.228897	0.422460	82.264279	0.200535	16.228897	0.422460	15	34.538258	0.402852	0.402852	34.538258	0.402852	8	20.495111	0.342246	0.342246	20.495111	0.342246	27.516684	0.379679	27.516684	0.379679	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.194296
chr22	17602484	17612994	LINC01664	0	+	LINC01664	17602484			0.081996	False	K562	58	133.547931	0.262923	0.262923	12.706749	0.347594	46	117.846886	0.261141	0.261141	11.212834	0.292335	125.697409	0.265597	11.959791	0.324421	25	114.255942	0.247772	0.247772	10.871165	0.278075	114.255942	0.247772	10.871165	0.278075	11	25.328056	0.381462	0.381462	25.328056	0.381462	8	20.495111	0.342246	0.342246	20.495111	0.342246	22.911583	0.358289	22.911583	0.358289	2	9.140475	0.260250	0.260250	9.140475	0.260250	9.140475	0.260250	9.140475	0.260250	0.331551
chr22	17618409	17646177	HDHD5	0	-	HDHD5	17646177			0.081996	False	K562	374	861.153900	0.710339	0.710339	31.012457	0.663102	291	745.509649	0.676471	0.676471	26.847798	0.616756	803.331775	0.684492	28.930127	0.632799	134	612.411852	0.565062	0.565062	22.054590	0.525847	612.411852	0.565062	22.054590	0.525847	10	23.025505	0.366310	0.366310	23.025505	0.366310	10	25.618888	0.377005	0.377005	25.618888	0.377005	24.322197	0.366310	24.322197	0.366310	5	22.851188	0.393939	0.393939	22.851188	0.393939	22.851188	0.393939	22.851188	0.393939	0.393939
chr22	17640278	17646335	HDHD5-AS1	0	+	HDHD5-AS1	17640278			0.081996	False	K562	56	128.942830	0.252228	0.252228	21.288233	0.540107	40	102.475553	0.227273	0.227273	16.918533	0.456328	115.709192	0.242424	19.103383	0.508021	31	141.677369	0.278075	0.278075	23.390683	0.538324	141.677369	0.278075	23.390683	0.538324	54	124.337729	0.565062	0.565062	124.337729	0.565062	56	143.465774	0.576649	0.576649	143.465774	0.576649	133.901752	0.568627	133.901752	0.568627	19	86.834516	0.549020	0.549020	86.834516	0.549020	86.834516	0.549020	86.834516	0.549020	0.552585
chr22	17659679	17700475	ADA2	0	-	ADA2	17700475			0.081996	False	K562	298	686.160059	0.640820	0.640820	16.819297	0.454545	310	794.185537	0.685383	0.685383	19.467240	0.527629	740.172798	0.661319	18.143269	0.490196	98	447.883294	0.476827	0.476827	10.978608	0.279857	447.883294	0.476827	10.978608	0.279857	5	11.512753	0.276292	0.276292	11.512753	0.276292	4	10.247555	0.239750	0.239750	10.247555	0.239750	10.880154	0.252228	10.880154	0.252228	4	18.280951	0.361854	0.361854	18.280951	0.361854	18.280951	0.361854	18.280951	0.361854	0.323529
chr22	17737749	17747623	CECR3	0	-	CECR3	17747623	0.000000	0.000000	0.268271	False	K562	157	361.500434	0.483066	0.483066	36.611346	0.727273	137	350.978770	0.481283	0.481283	35.545753	0.718360	356.239602	0.481283	36.078550	0.720143	42	191.949983	0.326203	0.326203	19.439942	0.477718	191.949983	0.326203	19.439942	0.477718	11	25.328056	0.381462	0.381462	25.328056	0.381462	3	7.685666	0.188948	0.188948	7.685666	0.188948	16.506861	0.324421	16.506861	0.324421	4	18.280951	0.361854	0.361854	18.280951	0.361854	18.280951	0.361854	18.280951	0.361854	0.361854
chr22	17840838	18037856	CECR2	0	+	CECR2	17840838	0.260000	0.260000	0.443850	False	K562	2547	5864.596213	0.966132	0.966132	29.766804	0.648841	2531	6484.140627	0.971480	0.971480	32.911412	0.696970	6174.368420	0.971480	31.339108	0.679144	564	2577.614062	0.877005	0.877005	13.083140	0.347594	2577.614062	0.877005	13.083140	0.347594	279	642.411599	0.843137	0.843137	642.411599	0.843137	253	648.157874	0.842246	0.842246	648.157874	0.842246	645.284737	0.843137	645.284737	0.843137	10	45.702377	0.490196	0.490196	45.702377	0.490196	45.702377	0.490196	45.702377	0.490196	0.629234
chr22	18043138	18073656	SLC25A18	0	+	SLC25A18	18043138	0.000000	0.000000	0.268271	False	K562	353	812.800339	0.684492	0.684492	26.633473	0.606061	280	717.328872	0.658645	0.658645	23.505108	0.575758	765.064606	0.670232	25.069290	0.593583	126	575.849950	0.554367	0.554367	18.869190	0.468806	575.849950	0.554367	18.869190	0.468806	116	267.095862	0.683601	0.683601	267.095862	0.683601	97	248.503216	0.662210	0.662210	248.503216	0.662210	257.799539	0.673797	257.799539	0.673797	6	27.421426	0.418004	0.418004	27.421426	0.418004	27.421426	0.418004	27.421426	0.418004	0.525847
chr22	18062922	18071958	LOC101929372	0	-	LOC101929372	18071958			0.081996	False	K562	144	331.567277	0.459893	0.459893	36.694032	0.730838	99	253.626994	0.399287	0.399287	28.068503	0.632799	292.597136	0.429590	32.381268	0.688057	22	100.545229	0.222816	0.222816	11.127183	0.283422	100.545229	0.222816	11.127183	0.283422	18	41.445910	0.425134	0.425134	41.445910	0.425134	6	15.371333	0.303922	0.303922	15.371333	0.303922	28.408621	0.383244	28.408621	0.383244	2	9.140475	0.260250	0.260250	9.140475	0.260250	9.140475	0.260250	9.140475	0.260250	0.342246
chr22	18074902	18111588	ATP6V1E1	0	-	ATP6V1E1	18111588	137.610000	137.610000	0.950089	False	K562	439	1010.819685	0.746881	0.746881	27.553281	0.622103	405	1037.564976	0.759358	0.759358	28.282314	0.636364	1024.192330	0.752228	27.917798	0.620321	387	1768.681989	0.814617	0.814617	48.211361	0.707665	1768.681989	0.814617	48.211361	0.707665	592	1363.109917	0.923351	0.923351	1363.109917	0.923351	481	1232.268527	0.918004	0.918004	1232.268527	0.918004	1297.689222	0.918004	1297.689222	0.918004	426	1946.921259	0.975045	0.975045	1946.921259	0.975045	1946.921259	0.975045	1946.921259	0.975045	0.960784
chr22	18121349	18213621	BCL2L13	0	+	BCL2L13	18121349	35.610000	35.610000	0.832442	False	K562	1137	2617.999959	0.905526	0.905526	28.372637	0.631016	1168	2992.286153	0.921569	0.921569	32.428973	0.693405	2805.143056	0.918004	30.400805	0.663102	1209	5525.417377	0.957219	0.957219	59.881843	0.766488	5525.417377	0.957219	59.881843	0.766488	377	868.061552	0.877005	0.877005	868.061552	0.877005	285	730.138316	0.860963	0.860963	730.138316	0.860963	799.099934	0.875223	799.099934	0.875223	663	3030.067594	0.994652	0.994652	3030.067594	0.994652	3030.067594	0.994652	3030.067594	0.994652	0.951872
chr22	18216905	18257261	BID	0	-	BID	18257261	97.430000	97.430000	0.925134	False	K562	367	845.036046	0.703209	0.703209	20.939539	0.532977	337	863.356536	0.711230	0.711230	21.393511	0.554367	854.196291	0.709447	21.166525	0.538324	214	978.030867	0.681818	0.681818	24.235079	0.549020	978.030867	0.681818	24.235079	0.549020	24	55.261213	0.459893	0.459893	55.261213	0.459893	26	66.609110	0.493761	0.493761	66.609110	0.493761	60.935161	0.473262	60.935161	0.473262	18	82.264279	0.542781	0.542781	82.264279	0.542781	82.264279	0.542781	82.264279	0.542781	0.506239
chr22	18260055	18262247	LINC00528	0	+	LINC00528	18260055	0.590000	0.590000	0.482175	False	K562	80	184.204043	0.340463	0.340463	84.034691	0.862745	92	235.693772	0.389483	0.389483	107.524531	0.898396	209.948908	0.358289	95.779611	0.884135	66	301.635688	0.392157	0.392157	137.607522	0.894831	301.635688	0.392157	137.607522	0.894831	70	161.178537	0.595365	0.595365	161.178537	0.595365	83	212.636773	0.634581	0.634581	212.636773	0.634581	186.907655	0.613191	186.907655	0.613191	70	319.916639	0.731729	0.731729	319.916639	0.731729	319.916639	0.731729	319.916639	0.731729	0.663102
chr22	18342920	18389652	MICAL3	0	-	MICAL3	18389652	10.380000	10.380000	0.682709	False	K562	346	796.682485	0.675579	0.675579	17.047900	0.459893	324	830.051981	0.704100	0.704100	17.761961	0.491979	813.367233	0.688057	17.404931	0.461676	252	1151.699900	0.720143	0.720143	24.644781	0.563280	1151.699900	0.720143	24.644781	0.563280	9	20.722955	0.352050	0.352050	20.722955	0.352050	9	23.056999	0.360071	0.360071	23.056999	0.360071	21.889977	0.353832	21.889977	0.353832	9	41.132139	0.475045	0.475045	41.132139	0.475045	41.132139	0.475045	41.132139	0.475045	0.427807
chr22	18512150	18520734	LINC01634	0	+	LINC01634	18512150			0.081996	False	K562	52	119.732628	0.235294	0.235294	13.948349	0.386809	49	125.532553	0.267380	0.267380	14.624016	0.401070	122.632590	0.254902	14.286182	0.397504	44	201.090459	0.333333	0.333333	23.426195	0.540107	201.090459	0.333333	23.426195	0.540107	9	20.722955	0.352050	0.352050	20.722955	0.352050	10	25.618888	0.377005	0.377005	25.618888	0.377005	23.170922	0.361854	23.170922	0.361854	5	22.851188	0.393939	0.393939	22.851188	0.393939	22.851188	0.393939	22.851188	0.393939	0.392157
chr22	18560685	18573797	PEX26	0	+	PEX26	18560685	14.300000	14.300000	0.713012	False	K562	218	501.956017	0.579323	0.579323	38.282186	0.741533	165	422.711657	0.537433	0.537433	32.238534	0.688057	462.333837	0.559715	35.260360	0.716578	146	667.254704	0.597148	0.597148	50.888858	0.727273	667.254704	0.597148	50.888858	0.727273	270	621.688645	0.837790	0.837790	621.688645	0.837790	207	530.310988	0.814617	0.814617	530.310988	0.814617	575.999816	0.828877	575.999816	0.828877	141	644.403515	0.871658	0.871658	644.403515	0.871658	644.403515	0.871658	644.403515	0.871658	0.864528
chr22	18593452	18614498	TUBA8	0	+	TUBA8	18593452	1.010000	1.010000	0.514260	False	K562	87	200.321897	0.360071	0.360071	9.518288	0.231729	60	153.713330	0.310160	0.310160	7.303684	0.178253	177.017613	0.329768	8.410986	0.201426	80	365.619016	0.431373	0.431373	17.372376	0.449198	365.619016	0.431373	17.372376	0.449198	1	2.302551	0.075758	0.075758	2.302551	0.075758	4	10.247555	0.239750	0.239750	10.247555	0.239750	6.275053	0.170232	6.275053	0.170232	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.087344
chr22	18632757	18660162	USP18	0	+	USP18	18632757	0.480000	0.480000	0.470588	False	K562	158	363.802985	0.484848	0.484848	13.275059	0.367201	143	366.350103	0.501783	0.501783	13.368002	0.370766	365.076544	0.491979	13.321531	0.367201	30	137.107131	0.272727	0.272727	5.002997	0.092692	137.107131	0.272727	5.002997	0.092692	64	147.363234	0.581996	0.581996	147.363234	0.581996	56	143.465774	0.576649	0.576649	143.465774	0.576649	145.414504	0.577540	145.414504	0.577540	6	27.421426	0.418004	0.418004	27.421426	0.418004	27.421426	0.418004	27.421426	0.418004	0.495544
chr22	18660792	18688630	LOC100996415	0	-	LOC100996415	18688630			0.081996	False	K562	4	9.210202	0.022282	0.022282	0.330850	0.008913	6	15.371333	0.045455	0.045455	0.552171	0.010695	12.290768	0.031194	0.441510	0.012478	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	1	2.302551	0.075758	0.075758	2.302551	0.075758	1	2.561889	0.084670	0.084670	2.561889	0.084670	2.432220	0.066845	2.432220	0.066845	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.048128
chr22	18660803	18668247	LOC105379550	0	-	LOC105379550	18668247			0.081996	False	K562	0	0.000000	0.003565	0.003565	0.000000	0.003565	2	5.123778	0.016043	0.016043	0.688310	0.014260	2.561889	0.008913	0.344155	0.010695	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	0	0.000000	0.022282	0.022282	0.000000	0.022282	0	0.000000	0.028520	0.028520	0.000000	0.028520	0.000000	0.013369	0.000000	0.013369	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.013369
chr22	18721426	18745407	LINC01662	0	+	LINC01662	18721426			0.081996	False	K562	4	9.210202	0.022282	0.022282	0.384062	0.012478	2	5.123778	0.016043	0.016043	0.213660	0.008913	7.166990	0.017825	0.298861	0.005348	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	0	0.000000	0.022282	0.022282	0.000000	0.022282	3	7.685666	0.188948	0.188948	7.685666	0.188948	3.842833	0.108734	3.842833	0.108734	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.062389
chr22	18761201	18779474	GGT3P	0	-	GGT3P	18779474	0.000000	0.000000	0.268271	False	K562	11	25.328056	0.080214	0.080214	1.386092	0.024955	9	23.056999	0.070410	0.070410	1.261807	0.023173	24.192528	0.073084	1.323949	0.023173	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	1	2.302551	0.075758	0.075758	2.302551	0.075758	0	0.000000	0.028520	0.028520	0.000000	0.028520	1.151275	0.034759	1.151275	0.034759	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.031194
